"lkcode" "lknum" "spp" "len" "wt"
"ARR81" 6 "LMB" 11 0.64
"ARR81" 6 "LMB" 11.2 0.61
"ARR81" 6 "LMB" 11.4 0.63
"ARR81" 6 "LMB" 12.1 0.81
"ARR81" 6 "LMB" 12.4 0.81
"ARR81" 6 "LMB" 13.5 1.25
"ARR78" 7 "LMB" 8.5 0.28
"ARR78" 7 "LMB" 9.1 0.36
"ARR78" 7 "LMB" 10.6 0.43
"ARR78" 7 "LMB" 10.9 0.57
"ARR78" 7 "LMB" 10.9 0.63
"ARR78" 7 "LMB" 11.3 0.68
"ARR78" 7 "LMB" 12.5 0.89
